# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.001462800000000003,0.023161207609988785,-2.2745247511835043e-08,0.023142293098623725,2.418715157209433,10.0,-0.0004837434284876707
0.001472800000000003,0.017007190860887065,-1.6585945221848225e-08,0.01698807969355834,2.4132485645681374,10.0,-0.0004826501150496654
0.001482800000000003,0.01078605449930385,-1.0361319061416574e-08,0.010766808595653706,2.407723097971617,10.0,-0.0004815450250870157
0.0014928000000000031,0.0045223505082914554,-4.0955423618455056e-09,0.0045030323203341955,2.4021605843425022,10.0,-0.00048043252435547856
0.0015028000000000031,-0.0017592011341119218,2.186264428012414e-09,-0.0017785288684588512,2.396582988836596,10.0,-0.0004793170055030771
0.0015128000000000032,-0.008033810013341509,8.459702223679103e-09,-0.00805308451785518,2.3910123276668167,10.0,-0.00047820287215216695
0.0015228000000000032,-0.014276713114746929,1.4699620382897793e-08,-0.014295871822647565,2.385470581363841,10.0,-0.0004770945200220922
0.0015328000000000032,-0.020463272551898243,2.0881785045903656e-08,-0.020482253352771734,2.3799796077954456,10.0,-0.00047599632108941137
0.0015428000000000032,-0.02656907280106718,2.6981405823120475e-08,-0.026587814285986326,2.3745610563228507,10.0,-0.00047491260485799103
0.0015528000000000033,-0.03257001705814505,3.297480245193635e-08,-0.03258845876202282,2.3692362823955584,10.0,-0.00047384764282298875
0.0015628000000000033,-0.03844242233772,3.883792958070398e-08,-0.038460504977937605,2.3640262639493903,10.0,-0.00047280563021345756
0.0015728000000000033,-0.04416311293899998,4.454804018207137e-08,-0.044180778649368764,2.3589515189083263,10.0,-0.00047179067104430317
0.0015828000000000033,-0.04970951190971684,5.0082206951018726e-08,-0.04972670446884995,2.3540320251298463,10.0,-0.00047080676052857484
0.0015928000000000034,-0.05505973014704181,5.541898104484411e-08,-0.055076395200234926,2.349287142076891,10.0,-0.0004698577709998375
0.0016028000000000034,-0.06019265278387455,6.053690860576e-08,-0.06020873805761941,2.3447355355390993,10.0,-0.00046894743527836624
0.0016128000000000034,-0.06508802251957645,6.54161834180711e-08,-0.06510347802786119,2.340395104659967,10.0,-0.00046807933363801624
0.0016228000000000034,-0.06972651956628255,7.003715722479764e-08,-0.06974129780786409,2.3362829125744504,10.0,-0.0004672568783732345
0.0016328000000000035,-0.07408983789527736,7.438198501227844e-08,-0.07410389404114771,2.3324151198773175,10.0,-0.00046648330206799926
0.0016428000000000035,-0.0781607574825266,7.843312781197209e-08,-0.07817404955283283,2.328806922206036,10.0,-0.0004657616435199685
0.0016528000000000035,-0.08192321226824589,8.217498939991352e-08,-0.08193570129796605,2.325472491132719,10.0,-0.0004650947375122172
0.0016628000000000036,-0.08536235356229786,8.559241054112432e-08,-0.08537400375501832,2.3224249196054036,10.0,-0.000464485202327225
0.0016728000000000036,-0.0884646086451892,8.867229596074e-08,-0.08847538751437715,2.3196761711122122,10.0,-0.0004639354311297694
